data has 1335285 characters, 97 unique.
Epoch 0313 | avg_token_loss: 3.2785 | ppl: 26.54
Epoch 0314 | avg_token_loss: 3.2930 | ppl: 26.92
Epoch 0315 | avg_token_loss: 3.2822 | ppl: 26.63
Epoch 0316 | avg_token_loss: 3.2808 | ppl: 26.60
Epoch 0317 | avg_token_loss: 3.2947 | ppl: 26.97
Epoch 0318 | avg_token_loss: 3.2895 | ppl: 26.83
Epoch 0319 | avg_token_loss: 3.2861 | ppl: 26.74
Epoch 0320 | avg_token_loss: 3.2864 | ppl: 26.75
[sample@epoch 320] =ctnC bel c aig<4 -d tet t niI%uh na Tiruao   oanc eXsirnlhiaco ngo[tn wioo(aieae,  o i oSnicesl   eettt3 aZdCuunsnu fv cb Fue-n elttyhr afb sb l#acg  ...
Epoch 0321 | avg_token_loss: 3.2942 | ppl: 26.96
Epoch 0322 | avg_token_loss: 3.2854 | ppl: 26.72
Epoch 0323 | avg_token_loss: 3.2840 | ppl: 26.68
Epoch 0324 | avg_token_loss: 3.2816 | ppl: 26.62
Epoch 0325 | avg_token_loss: 3.2881 | ppl: 26.79
Epoch 0326 | avg_token_loss: 3.2784 | ppl: 26.53
Epoch 0327 | avg_token_loss: 3.3005 | ppl: 27.13
Epoch 0328 | avg_token_loss: 3.2880 | ppl: 26.79
Epoch 0329 | avg_token_loss: 3.2838 | ppl: 26.68
Epoch 0330 | avg_token_loss: 3.2849 | ppl: 26.71
Epoch 0331 | avg_token_loss: 3.2858 | ppl: 26.73
Epoch 0332 | avg_token_loss: 3.2887 | ppl: 26.81
Epoch 0333 | avg_token_loss: 3.2871 | ppl: 26.76
Epoch 0334 | avg_token_loss: 3.2899 | ppl: 26.84
Epoch 0335 | avg_token_loss: 3.2803 | ppl: 26.58
Epoch 0336 | avg_token_loss: 3.2819 | ppl: 26.63
Epoch 0337 | avg_token_loss: 3.2812 | ppl: 26.61
Epoch 0338 | avg_token_loss: 3.2857 | ppl: 26.73
Epoch 0339 | avg_token_loss: 3.2845 | ppl: 26.70
Epoch 0340 | avg_token_loss: 3.2875 | ppl: 26.78
